scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,28,c,0,10,1,8,10,-2.0672584135322545,1.6302186553487394,0.41294771442707534,0.48131681399151194,11.265737174355593,2.0571364387772353,7.233823843067226,15.29765050564396,11.692740998710773
S1-connector,0.5,29,a,0,10,1,8,10,-1.2344620069987524,4.906690026913111,8102.905447743581,0.09239277164735431,50.16521243762588,,,,11.692740998710773
S1-connector,0.5,29,b,0,10,1,8,10,-1.274083171710505,1.780219429685213,2.2839824847926726,0.3715025853490811,12.468237729046505,13.674255053542634,-14.332809691311885,39.269285149404894,11.692740998710773
S1-connector,0.5,29,c,0,10,1,8,10,-1.8643283025737565,1.4900904045666148,0.40446507986956304,0.47321853966797234,11.00655973642887,2.163676709765302,6.765831311100754,15.247288161756984,11.692740998710773
S1-connector,0.5,30,a,0,10,1,8,8,3.911986329281296,-1.6562975485471596,8103.083854294222,0.09127739912858464,-7.018780955322046,67.84455209628514,-139.99165961129236,125.95409770064826,11.692740998710773
S1-connector,0.5,30,b,0,10,1,8,8,2.3020666464318893,0.13722214568517355,2491.697753183214,0.11590505321985953,9.078860169837228,29.154236969209045,-48.06239428655868,66.22011462623314,11.692740998710773
S1-connector,0.5,30,c,0,10,1,8,8,-1.566634833591229,1.0828361864658391,0.4216062956908929,0.47534414407878467,10.292813452472945,1.7690786681450017,6.8254829770906555,13.760143927855236,11.692740998710773
S1-connector,0.5,31,a,0,10,1,10,10,1.3386352780116315,0.22956884762095398,836.7226381868868,0.21843020744250433,9.301432976319628,95.61803799640121,-178.1064777690092,196.70934372164845,11.692740998710773
S1-connector,0.5,31,b,0,10,1,10,10,-6.966118923607562,2.733563713951149,0.0001234098041049649,0.9542786636192874,10.84321493387545,604.8441991270463,-1174.6296316131081,1196.3160614808592,11.692740998710773
S1-connector,0.5,31,c,0,10,1,10,10,-1.844246928707418,1.6374927130261785,0.6138467194985957,0.45119077433680177,11.52111485891107,2.0568679753098165,7.489727706350008,15.55250201147213,11.692740998710773
S1-connector,0.5,12,a,1,9,1,8,7,-4.257914998667182,0.5593696855322533,0.0001234098127649152,0.8267769433486711,8.904625959447596,15615.752815765336,-30597.40848442055,30615.217736339444,11.692740998710773
S1-connector,0.5,12,b,1,9,1,8,7,0.7970429888426814,1.040629662971455,64.81068567113235,0.20205525611087938,12.569204869114,41.20311791038452,-68.1874222859969,93.32583202422491,11.692740998710773
S1-connector,0.5,12,c,1,9,1,8,7,-1.1102341130574063,1.6183953012741596,2.5175158293977677,0.37044669387379625,12.047210208322296,2.9035753768850934,6.356307043230199,17.738113373414393,11.692740998710773
S1-connector,0.5,13,a,0,10,1,6,10,-2.6971915674846088,4.43757830660164,245.74656186995233,0.30898813446620105,19.73338897373729,48.85945527518889,-76.0293836698785,115.49616161735308,11.692740998710773
S1-connector,0.5,13,b,0,10,1,6,10,-5.549475700027202,1.4856566443901975,0.00012340980412785583,0.9059652574180932,9.789310509100565,3881.101778267632,-7597.030395229817,7616.609016248019,11.692740998710773
S1-connector,0.5,13,c,0,10,1,6,10,-1.824060044802995,1.8050517623729894,0.7761623799625041,0.43484841973235905,11.91772500391177,2.2049508824368793,7.596100686655675,16.239349321167865,11.692740998710773
S1-connector,0.5,14,a,0,10,1,7,8,-5.873304882375814,11.0621160202545,8103.083390160277,0.07109268465533324,130.45638937141834,,,,11.692740998710773
S1-connector,0.5,14,b,0,10,1,7,8,1.62440338378262,0.5924939880451783,657.3578456847083,0.14551133461715987,11.892412123267427,75.42295516965711,-135.9338636168396,159.71868786337447,11.692740998710773
S1-connector,0.5,14,c,0,10,1,7,8,-1.8055152892131348,2.2423137144043297,2.0664016170745767,0.38242136776712926,13.545153530259388,2.709796582955002,8.234049822237878,18.856257238280897,11.692740998710773
S1-connector,0.5,15,a,0,10,1,10,9,-6.402645038991455,11.444093814956698,2830.0589491650994,0.09873693957934025,99.29247527641388,,,,11.692740998710773
S1-connector,0.5,15,b,0,10,1,10,9,2.499557463667587,0.3294783449420109,8101.401548051378,0.0727779207065535,11.953988850527066,104.98633500676394,-193.81544663158695,217.72342433264106,11.692740998710773
S1-connector,0.5,15,c,0,10,1,10,9,-2.3806785038930114,2.183301162425712,0.4753513032482511,0.4640670402333913,12.391506991746322,2.305624376028525,7.872566252852778,16.910447730639866,11.692740998710773
S1-connector,0.5,48,a,0,10,1,8,10,-2.0215862841020615,5.799336624797242,8103.0364035628545,0.10424079033437487,52.018402655971826,339.74450415708714,-613.8685894373376,717.9053947492813,11.692740998710773
S1-connector,0.5,48,b,0,10,1,8,10,-6.207962877437852,2.313632263673571,0.000123409870494115,0.9067809380017225,10.550242171223319,1583.966083135173,-3093.966233506693,3115.06671784914,11.692740998710773
S1-connector,0.5,48,c,0,10,1,8,10,-2.425925598021392,1.6349676177328885,0.20034712676827163,0.5252518518351592,11.00599455818733,1.7731379191783803,7.530708096975411,14.48128101939925,11.692740998710773
S1-connector,0.5,49,a,0,10,1,9,9,-4.011926306410782,8.291404326998492,3295.0653100172963,0.10889999136539213,68.07208911657331,618.4798856596351,-1144.126211938762,1280.2703901719087,11.692740998710773
S1-connector,0.5,49,b,0,10,1,9,9,0.6529085322787922,0.7659756658986164,66.37354963068837,0.24791018550474905,10.863297483831579,30.24738600256478,-48.420489707676346,70.1470846753395,11.692740998710773
