combo,rep,scheme,ok,log_xi,log_xi_true,a0,a1,lam,q
0,60,b,1,8.716340063433716,9.672761633543844,1.347348623012814,0.25232191663198184,1323.6713435321324,0.10467531921457573
0,60,c,1,9.105045615149535,9.672761633543844,-1.8895858225616398,1.2572641700114597,0.28106527085191685,0.4477412821259674
0,61,b,1,8.995372326834685,9.672761633543844,0.05063984173686328,0.7209650272628951,21.273649276176332,0.24007335796123164
0,61,c,1,9.548741108588075,9.672761633543844,-1.4030086544492577,1.4628650080961991,0.8403299011852008,0.37669431691809424
0,62,b,1,8.635677388261684,9.672761633543844,0.23562319520981223,0.510706687957938,31.495332531520447,0.22877121264108619
0,62,c,1,9.816736273812614,9.672761633543844,-1.541064700277469,1.5514267376639124,0.9578562872889347,0.3825102271989721
0,63,b,1,10.918564996104886,9.672761633543844,-1.9089912258616761,2.2704157447336017,1.225997880335973,0.38075787277301987
0,63,c,1,9.68163300971736,9.672761633543844,-1.331131017052149,1.33198834685444,1.6791007944997016,0.3667891306964962
0,72,b,1,8.692536375860044,9.672761633543844,-4.644955069294048,1.230098499946195,0.0013908685485023596,0.7872454948241276
0,72,c,1,9.401254797454627,9.672761633543844,-2.3380145008208513,1.4906474900584397,0.15460040011800502,0.4830375081587629
0,73,b,1,10.002566747492333,9.672761633543844,-2.756555086546647,2.2984866368669667,0.0895107810903854,0.4971862153769806
0,73,c,1,9.377542830558951,9.672761633543844,-2.0438829040442625,1.5365644390700244,0.24971696941102012,0.4523011860298567
0,74,b,1,10.436834998092523,9.672761633543844,-3.457357852867408,2.7957226387089578,0.04041560117312163,0.5458003145728382
0,74,c,1,9.345079482619115,9.672761633543844,-1.3717751831012692,1.2531333037084336,0.9666587180601974,0.3820034677803036
0,75,b,1,9.422497316591132,9.672761633543844,0.794657691725992,0.5863866339598096,129.60553567857494,0.15167373057152572
0,75,c,1,9.701809854989657,9.672761633543844,-2.063996925437375,1.7551230710230248,0.239008969962879,0.43923751285778256
0,76,b,1,9.001684201440503,9.672761633543844,-4.039515142844068,1.6510675884150945,0.005592845405736674,0.6939511737883313
0,76,c,1,9.338229803436535,9.672761633543844,-2.491619428656934,1.6089427242404666,0.1219841252698148,0.5031139311071463
0,77,b,1,10.281016540286078,9.672761633543844,-1.9676075927799308,2.0137369492447474,0.38447305251581737,0.40646359871644583
0,77,c,1,9.445923348689233,9.672761633543844,-2.0010987463207464,1.4709723754728312,0.24262617882988333,0.4438440022803185
0,78,b,1,8.593267863002737,9.672761633543844,1.516440805306994,0.2173253909351259,879.4369333466867,0.08423959549297222
0,78,c,1,9.914487330832364,9.672761633543844,-1.563973089220761,1.658153676600009,0.834616434198337,0.38062931580329334
0,79,b,1,9.494123620507379,9.672761633543844,0.6478612191065778,0.5797684275918682,206.22053410191702,0.16860826500557136
0,79,c,1,9.741841238975223,9.672761633543844,-2.2865361702624987,1.7632541665066206,0.191199884869434,0.4614092097482441
0,92,b,1,14.462697205204638,9.672761633543844,-10.432663069986432,11.999542471115902,0.000123409804107051,0.8804840110700662
0,92,c,1,9.975266892620885,9.672761633543844,-1.8779550601159456,1.8484840336906365,0.49550560054406984,0.4102686666109309
0,93,b,1,9.648161839341412,9.672761633543844,-5.997109318961989,2.8857805225667095,0.00012340980745645302,0.8508395287654203
0,93,c,1,9.40593436019132,9.672761633543844,-1.6644850892900909,1.2949990569204306,0.5804855559653058,0.41106260859831123
0,94,b,1,9.258631689280453,9.672761633543844,-5.43497720689262,2.846127861962219,0.00012340980442454425,0.8185470661088755
0,94,c,1,9.614149570674606,9.672761633543844,-2.0010518958568473,1.780791352017888,0.2793026469994685,0.43685750948986596
0,95,b,1,9.475296921060307,9.672761633543844,-0.12365767268928979,0.8541602469498751,19.714870217392793,0.2475499070494465
0,95,c,1,9.74072680635034,9.672761633543844,-2.345774613252607,1.7579064199512424,0.17812051640801926,0.46777075940038076
0,88,b,1,10.300817182322369,9.672761633543844,-2.8280398404259914,2.3417425833709364,0.06095489280801196,0.4886607795688752
0,88,c,1,10.284700049809786,9.672761633543844,-1.0096952590088066,1.5913329492679003,2.1647272675567555,0.312305620680329
0,89,b,1,8.665368459208057,9.672761633543844,1.6198055367132285,0.17362879926557406,2552.7253562705314,0.07411789351486044
0,89,c,1,10.162964883681472,9.672761633543844,-2.2704370372106446,2.0652970790299423,0.25191193178436483,0.44176715166826674
0,90,b,1,8.549604571400446,9.672761633543844,1.7541720086233736,0.12716003272848453,5869.593065546434,0.06056968047867705
0,90,c,1,9.540757274315617,9.672761633543844,-1.3420515350859827,1.355721380620595,1.076843331755373,0.371315448634441
0,91,b,1,9.911872244038735,9.672761633543844,-6.126505790031839,3.761880765458317,0.00012340980437701147,0.8423667050925426
0,91,c,1,9.227408550463517,9.672761633543844,-1.479432262429102,1.3001043094690155,0.6749820907105931,0.3976982674684875
0,100,b,1,10.070329252161814,9.672761633543844,-2.0251021852445756,1.8529779483400417,0.5243769606283271,0.42241336143813
0,100,c,1,9.707394576792705,9.672761633543844,-2.1645581668953033,1.7163976495719653,0.3236584116899743,0.45175746228065783
0,101,b,1,9.660111925105987,9.672761633543844,1.045682357827597,0.48322684718978814,645.6344758049587,0.12541524891272102
0,101,c,1,9.788577667000075,9.672761633543844,-1.3592626894713389,1.4293348377946065,1.1223571036836673,0.3640603748619185
0,102,b,1,11.814273829898283,9.672761633543844,-2.962410610534074,3.4623318610959055,0.1164073374408009,0.4404504873108179
0,102,c,1,10.324551173903469,9.672761633543844,-1.478027663029915,1.822387403566776,1.1470280356659701,0.3578200840003334
0,103,b,1,9.73125249450632,9.672761633543844,1.651543230619771,0.2577553976651482,8103.0838103980595,0.06448954861449116
0,103,c,1,10.337458294263596,9.672761633543844,-1.2157329163092045,1.6921754722066624,1.8807587635499223,0.3318736490301506
